Nombre,Referencia interna,Precio de venta,Tipo,Peso Kg,Tipo pallet,Medida pallet,TARIC (HS),Nombre EN-US
Pie de valla fibra,A00182,37,consu,7.8,Pies de Valla,1.10x1.10,7306.61.99,Barrier accesory fiber
Piedra afiladora Xtraice,A00083,99,consu,0.2,Accesorios,1.20x0.80,6804.30,Grinding wheel sharpener
Piedra afiladora Xtraice 1001,A00190,29,consu,0.1,Accesorios,1.20x0.80,68.04.30.00,Grinding wheel sharpener 1001
Piedra afiladora Xtraice ONE,A00189,79,consu,0.1,Accesorios,1.20x0.80,68.04.30.00,Grinding wheel sharpener ONE
Piedra de repaso Xtraice,A00084,32,consu,0.05,Accesorios,1.20x0.80,69.09.11.00,Horning stone (5 units)
Piedras Curling Xtraice PRO,A00369,198,consu,5.0,Accesorios,1.20x0.80,9506.91.90.00,Xtraice Curling Stones PRO
Pinguinos,A00098,295,consu,12.0,Accesorios,1.20x0.80,9503.00.00.90,Penguin Skating Aid
Pista Uruguay,A00193,1,consu,0.0,,,,Pista Uruguay
Placa Alveolar 150x100x22,A00053,1,consu,12.0,,,,Placa Alveolar 150x100x22
Porteria futbol,A00236,1,consu,4.0,Accesorios,1.20x0.80,95.06.99.90,Porteria futbol
Porteria hockey,A00235,150,consu,4.0,Accesorios,1.20x0.80,9506.91.90,Hockey Goal
Pulverizador,A00348,42,consu,1.1,Accesorios,1.20x0.80,8424.81.10.00,Sprayer
Racleta agua (Haragán),A00448,25,consu,0.3,Accesorios,1.20x0.80,3625.20.00,Water Scrawl
Rampa acceso a suelo técnico < 40 cm,A00261,450,consu,15.0,Accesorios,1.20x0.80,4418.90.10,XLR cable 50
Rampa beginner,A00105,1,consu,28.7,Accesorios,1.20x0.80,3901.20.10.00,Rampa beginner
Rampa de acceso al suelo técnico > 40 cm,A00467,0,consu,15.0,,,,Raised floor access ramp > 40 cm
Rampa expert,A00107,1,consu,42.9,Accesorios,1.20x0.80,3901.20.10.00,Rampa expert
Rampa pro,A00106,1,consu,28.7,Accesorios,1.20x0.80,3901.20.10.00,Rampa pro
Regletas eléctricas,A00251,1,consu,0.3,,,85.36.90.85,Regletas eléctricas
